Row ID,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
12,1,45,3.8,96.04,77.17,54.76,15,28.89,88.89,66.67,60,26.67,22.22,6.67,0,15.56,0,0,4.44,11.11,4.44,0,8.89,11.11,2.22,8.89,4.44,17.78,0,0,8.89,6.67,0,2.22,24.44,2.22,22.22,6.67,4.44,0,4.44,4.44,6.67,0,11.11,6.67,4.44,2.22,0,2.22,0,2.22,0,0,28.89,13.33,4.44,0,2.22,0,4.44,15.56,0,0,0,0,0,0,0,0,2.22,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,2.22,0,0,0,0,0,0,8.89,2.22,0,0,0,0,0,17.78,6.67,6.67,0,0,4.44,0,0
13,1,77,13.4,20.1,24.32,20.23,19.25,9.09,80.52,64.94,54.55,10.39,6.49,2.6,0,2.6,0,1.3,3.9,11.69,3.9,6.49,11.69,9.09,10.39,12.99,3.9,16.88,3.9,2.6,3.9,1.3,2.6,0,12.99,1.3,11.69,2.6,1.3,2.6,1.3,0,3.9,0,0,0,0,0,0,0,0,0,0,0,5.19,1.3,0,0,0,0,0,3.9,0,0,0,0,3.9,0,3.9,0,1.3,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,0,0,0,0,0,5.19,6.49,0,0,5.19,0,1.3,0,2.6,1.3,5.19,2.6,0,0,0,0,0,19.48,3.9,2.6,0,0,1.3,11.69,0
14,1,87,31.31,9.86,98.3,20.23,12.43,14.94,88.51,72.41,58.62,18.39,11.49,8.05,0,2.3,0,1.15,6.9,17.24,8.05,1.15,10.34,6.9,8.05,8.05,0,19.54,3.45,5.75,1.15,0,0,1.15,24.14,1.15,22.99,6.9,4.6,1.15,3.45,5.75,3.45,0,4.6,1.15,1.15,1.15,0,1.15,0,1.15,0,2.3,8.05,3.45,0,0,0,0,1.15,4.6,0,0,0,0,0,0,0,0,4.6,0,0,3.45,1.15,0,0,0,0,0,0,0,0,0,0,2.3,0,2.3,0,0,0,0,0,2.3,5.75,5.75,2.3,1.15,2.3,2.3,0,0,9.2,1.15,4.6,4.6,0,0,0,0,0,9.2,6.9,0,0,0,2.3,0,0
15,1,30,3.8,1,98.38,99,15,10,90,73.33,63.33,23.33,20,16.67,0,3.33,0,0,3.33,10,0,3.33,13.33,13.33,10,3.33,3.33,23.33,6.67,3.33,3.33,3.33,0,0,23.33,0,16.67,0,0,6.67,0,0,6.67,3.33,13.33,10,0,6.67,6.67,0,0,0,0,3.33,10,0,0,0,0,0,0,6.67,0,0,3.33,0,3.33,3.33,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,3.33,0,0,0,0,0,10,0,0,0,0,0,6.67,3.33,0,3.33,3.33,0,0,0,6.67,13.33,0,0,0,0,0,0,0,3.33,3.33,0,0,0,0,0,0
16,1,13,1.3,7.93,81.58,20.23,13,7.69,100,92.31,61.54,30.77,23.08,7.69,7.69,0,7.69,0,7.69,7.69,0,0,15.38,15.38,0,7.69,7.69,30.77,15.38,0,7.69,7.69,0,0,38.46,0,38.46,7.69,7.69,0,0,7.69,15.38,0,0,0,0,0,0,0,0,0,0,0,23.08,7.69,7.69,0,0,0,0,15.38,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,23.08,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,30.77,7.69,7.69,0,0,15.38,0,0
17,1,13,1,40.06,81.58,1,3.25,38.46,92.31,69.23,46.15,15.38,7.69,0,0,7.69,0,0,7.69,15.38,0,0,0,15.38,15.38,0,7.69,23.08,15.38,0,7.69,7.69,0,0,23.08,15.38,7.69,7.69,0,0,0,0,0,0,30.77,0,15.38,7.69,0,7.69,0,0,0,15.38,15.38,0,0,0,0,0,0,15.38,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,7.69,15.38,0,23.08,0,0,0,0,0,0,30.77,30.77,0,0,0,0,0,0
18,1,22,12.37,99,1,1,11,22.73,95.45,63.64,59.09,18.18,13.64,0,0,0,13.64,0,4.55,9.09,9.09,0,13.64,18.18,4.55,9.09,4.55,22.73,0,0,31.82,0,0,31.82,13.64,0,13.64,0,0,4.55,0,0,4.55,0,4.55,0,4.55,0,0,0,0,0,0,0,31.82,4.55,0,0,0,0,4.55,27.27,0,0,0,13.64,22.73,22.73,0,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,4.55,13.64,0,0,0,0,0,0,31.82,0,9.09,9.09,0,13.64,0,0
19,1,64,4.42,40.06,23.08,1,10.67,20.31,92.19,70.31,59.38,23.44,10.94,1.56,0,0,7.81,0,12.5,17.19,6.25,0,6.25,17.19,4.69,3.13,3.13,23.44,7.81,0,3.13,0,1.56,1.56,12.5,1.56,10.94,3.13,1.56,1.56,3.13,0,6.25,0,7.81,1.56,6.25,1.56,0,1.56,0,1.56,0,0,21.88,10.94,0,0,1.56,7.81,0,10.94,0,0,7.81,0,1.56,1.56,0,0,1.56,0,0,0,1.56,0,0,0,0,0,0,0,0,0,0,3.13,0,1.56,0,0,0,1.56,1.56,0,1.56,9.38,0,4.69,6.25,0,0,0,1.56,4.69,10.94,3.13,0,0,0,0,0,21.88,4.69,4.69,3.13,1.56,7.81,0,0
20,1,27,55.25,40.06,52.89,1,9,40.74,62.96,59.26,37.04,3.7,3.7,0,0,0,3.7,0,0,3.7,0,0,14.81,11.11,3.7,7.41,3.7,22.22,14.81,3.7,3.7,3.7,0,0,3.7,0,3.7,0,0,0,0,0,3.7,0,3.7,0,3.7,3.7,0,3.7,0,0,0,0,7.41,0,0,0,0,0,0,7.41,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,7.41,14.81,0,3.7,14.81,0,0,0,0,0,11.11,0,0,0,0,0,0,33.33,11.11,3.7,0,0,11.11,7.41,0
21,1,30,1,59.9,19.26,1,10,6.67,96.67,86.67,70,26.67,20,3.33,0,0,13.33,3.33,6.67,10,3.33,0,3.33,23.33,3.33,10,3.33,36.67,6.67,3.33,0,0,0,0,16.67,0,16.67,3.33,0,0,10,0,10,0,6.67,0,6.67,6.67,0,6.67,0,6.67,0,0,20,0,0,0,0,0,0,20,0,0,0,13.33,6.67,3.33,3.33,0,3.33,0,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,0,0,3.33,3.33,3.33,16.67,0,0,0,0,0,20,10,6.67,0,0,3.33,0,0
22,1,16,13.27,94.84,1.63,20.23,8,6.25,68.75,50,31.25,25,6.25,0,0,6.25,0,0,18.75,18.75,0,6.25,0,0,0,6.25,0,18.75,6.25,0,0,0,0,0,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,6.25,0,0,0,0,6.25,6.25,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,18.75,12.5,0,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,12.5,6.25,0,0,0,6.25,0,0
23,1,12,1,98.75,1,1,12,0,100,75,75,25,25,8.33,0,0,16.67,0,0,16.67,16.67,0,8.33,16.67,16.67,16.67,0,25,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,8.33,0,16.67,0,16.67,0,0,0,0,0,0,0,33.33,16.67,0,0,0,16.67,0,33.33,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,58.33,8.33,16.67,0,0,16.67,16.67,0
24,1,13,96.67,40.06,1,20.23,13,30.77,69.23,46.15,46.15,0,0,0,0,0,0,0,0,15.38,7.69,0,15.38,15.38,0,0,0,15.38,0,0,7.69,0,0,7.69,15.38,0,15.38,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0
25,1,49,27.39,64.19,97.09,20.23,12.25,10.2,95.92,79.59,61.22,16.33,14.29,4.08,4.08,0,0,4.08,2.04,16.33,2.04,0,14.29,6.12,4.08,8.16,6.12,20.41,6.12,8.16,14.29,14.29,0,0,22.45,6.12,16.33,2.04,0,0,4.08,4.08,10.2,0,0,0,0,0,0,0,0,0,0,0,26.53,6.12,4.08,0,0,0,2.04,20.41,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,8.16,0,0,8.16,0,0,0,4.08,4.08,2.04,4.08,2.04,2.04,0,0,0,32.65,8.16,8.16,0,0,10.2,6.12,0
26,1,15,77.34,99,1,20.23,7.5,33.33,86.67,53.33,46.67,13.33,13.33,0,0,13.33,0,0,0,13.33,6.67,0,13.33,0,6.67,6.67,0,6.67,0,0,13.33,0,0,13.33,0,0,0,0,0,0,0,0,0,0,26.67,13.33,13.33,6.67,0,6.67,0,6.67,0,0,46.67,33.33,6.67,13.33,13.33,0,20,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,13.33,0,0,0,0,0,0
27,1,21,10.19,67.92,97.09,20.23,21,28.57,100,80.95,61.9,23.81,19.05,4.76,0,0,9.52,0,4.76,14.29,4.76,9.52,9.52,9.52,4.76,4.76,4.76,19.05,4.76,14.29,9.52,0,4.76,4.76,33.33,0,33.33,14.29,4.76,0,9.52,0,4.76,0,0,0,0,0,0,0,0,0,0,0,19.05,0,0,0,0,0,0,19.05,0,0,9.52,0,0,0,0,0,9.52,0,0,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.52,4.76,0,0,4.76,0,0,0,9.52,14.29,0,0,0,0,0,0,0,9.52,4.76,0,0,0,4.76,0,0
28,1,52,93.9,13.12,19.9,1,26,28.85,82.69,63.46,46.15,3.85,0,0,0,0,0,0,3.85,11.54,9.62,5.77,15.38,7.69,3.85,5.77,0,13.46,7.69,3.85,3.85,0,0,3.85,13.46,0,13.46,1.92,1.92,1.92,3.85,0,7.69,0,5.77,0,5.77,1.92,0,1.92,1.92,0,0,0,3.85,1.92,0,0,0,0,1.92,1.92,0,0,0,0,3.85,3.85,0,0,3.85,0,0,1.92,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,1.92,0,0,0,1.92,0,1.92,9.62,0,1.92,3.85,1.92,0,1.92,0,0,5.77,0,1.92,1.92,0,0,0,25,3.85,3.85,0,0,0,17.31,0
29,1,61,35.92,93.01,11.41,6.23,15.25,18.03,93.44,75.41,63.93,19.67,11.48,3.28,0,1.64,0,4.92,8.2,19.67,8.2,0,13.11,11.48,8.2,1.64,1.64,18.03,9.84,9.84,4.92,1.64,1.64,1.64,16.39,3.28,13.11,4.92,1.64,1.64,3.28,1.64,0,0,4.92,1.64,3.28,1.64,1.64,0,0,0,0,0,14.75,0,0,0,0,0,0,14.75,1.64,0,0,0,0,0,0,0,3.28,0,0,1.64,1.64,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,14.75,4.92,1.64,0,1.64,0,0,1.64,3.28,3.28,8.2,0,0,0,0,0,0,11.48,6.56,1.64,0,0,1.64,1.64,0
30,1,35,3.8,13.3,4.17,1.98,11.67,14.29,91.43,77.14,65.71,22.86,11.43,2.86,2.86,0,5.71,0,11.43,2.86,2.86,0,14.29,17.14,8.57,0,8.57,28.57,0,0,11.43,2.86,0,8.57,28.57,0,28.57,8.57,2.86,8.57,5.71,0,5.71,0,2.86,0,2.86,0,0,0,0,0,0,0,11.43,2.86,0,0,0,0,2.86,8.57,0,0,0,5.71,2.86,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,2.86,0,0,0,0,0,0,0,2.86,5.71,0,0,5.71,0,0,0,0,2.86,2.86,2.86,0,0,0,0,0,17.14,8.57,5.71,0,0,2.86,0,0
31,1,16,26.1,11.66,1.63,1,8,12.5,87.5,81.25,56.25,18.75,6.25,6.25,0,0,0,0,12.5,25,6.25,6.25,6.25,12.5,6.25,0,0,18.75,18.75,6.25,0,0,0,0,18.75,0,18.75,0,6.25,6.25,0,0,0,0,6.25,0,6.25,6.25,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,6.25,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0
32,1,29,20.17,78.45,7.91,1,9.67,17.24,96.55,72.41,65.52,20.69,10.34,0,3.45,3.45,3.45,0,10.34,6.9,0,0,17.24,13.79,3.45,3.45,3.45,13.79,6.9,3.45,20.69,3.45,0,17.24,17.24,0,13.79,0,0,0,6.9,0,6.9,0,6.9,0,6.9,3.45,3.45,0,0,0,0,0,10.34,0,0,0,0,0,0,10.34,0,0,0,3.45,13.79,13.79,0,0,3.45,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,3.45,6.9,0,3.45,3.45,0,0,0,0,0,3.45,3.45,0,0,0,0,0,13.79,6.9,3.45,3.45,0,0,0,0
33,1,11,1,99,95.15,99,11,9.09,100,81.82,54.55,18.18,18.18,0,0,18.18,0,0,0,18.18,0,0,0,9.09,18.18,9.09,0,27.27,9.09,9.09,0,0,0,0,27.27,9.09,18.18,9.09,0,0,0,0,0,9.09,18.18,9.09,0,0,0,0,0,0,0,9.09,18.18,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,0,0,0,9.09,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1,52,1,7.93,57.98,4.87,8.67,15.38,94.23,84.62,67.31,19.23,11.54,1.92,0,7.69,1.92,0,7.69,11.54,5.77,0,7.69,19.23,3.85,13.46,5.77,26.92,7.69,0,1.92,0,1.92,0,34.62,0,34.62,1.92,1.92,5.77,7.69,3.85,19.23,0,5.77,1.92,3.85,5.77,1.92,3.85,1.92,0,0,0,11.54,0,0,0,0,0,0,11.54,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,5.77,5.77,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,5.77,3.85,0,1.92,0,1.92,0,0,1.92,0,9.62,0,3.85,1.92,0,1.92,0,19.23,11.54,3.85,0,0,3.85,0,0
35,1,22,71.44,5.27,99,99,11,18.18,90.91,68.18,50,13.64,9.09,9.09,0,0,0,0,4.55,9.09,9.09,0,13.64,13.64,4.55,0,0,22.73,9.09,0,4.55,0,0,4.55,9.09,0,9.09,9.09,4.55,0,4.55,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,9.09,9.09,0,0,0,4.55,4.55,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,4.55,4.55,9.09,0,4.55,4.55,0,0,0,18.18,0,0,9.09,0,0,0,0,0,18.18,9.09,4.55,0,0,4.55,0,0
36,1,54,49.68,51.1,39.59,20.23,10.8,16.67,85.19,70.37,51.85,11.11,7.41,1.85,0,0,5.56,0,3.7,11.11,7.41,0,12.96,9.26,3.7,9.26,3.7,18.52,9.26,1.85,7.41,3.7,0,3.7,7.41,1.85,5.56,0,0,0,3.7,0,3.7,0,7.41,3.7,3.7,0,0,0,0,0,0,0,18.52,7.41,0,0,0,1.85,5.56,11.11,0,0,0,5.56,1.85,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,16.67,0,5.56,9.26,3.7,0,0,1.85,9.26,5.56,0,1.85,1.85,0,0,0,40.74,9.26,3.7,0,0,7.41,20.37,0
37,1,31,69.92,76.43,17.19,1.4,15.5,22.58,77.42,61.29,48.39,9.68,6.45,0,0,0,6.45,0,3.23,16.13,6.45,0,12.9,6.45,9.68,3.23,0,12.9,6.45,6.45,0,0,0,0,19.35,0,19.35,3.23,3.23,0,9.68,0,3.23,0,3.23,0,3.23,0,0,0,0,0,0,0,19.35,9.68,0,0,0,3.23,6.45,9.68,0,0,0,6.45,3.23,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68,0,0,6.45,3.23,0,0,6.45,3.23,6.45,0,0,0,0,0,0,6.45,3.23,3.23,0,0,0,0,0
38,1,13,14.06,98.04,1,1,6.5,30.77,92.31,53.85,38.46,23.08,15.38,0,0,0,0,15.38,7.69,15.38,0,0,7.69,7.69,0,0,7.69,15.38,7.69,0,23.08,0,0,23.08,15.38,0,15.38,0,7.69,0,0,0,0,0,15.38,0,15.38,0,0,0,0,0,0,0,30.77,7.69,0,0,0,7.69,0,23.08,0,0,0,0,0,0,0,0,15.38,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,30.77,15.38,7.69,0,0,7.69,0,0
39,1,25,19.3,63.73,3.34,1,25,12,96,76,60,16,12,0,4,0,8,0,4,12,0,12,16,12,0,8,8,24,4,12,8,4,4,0,12,0,12,0,8,0,0,0,4,0,4,0,4,0,0,0,0,0,0,4,24,8,4,4,0,0,0,16,0,0,0,12,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,8,0,4,4,0,0,0,4,12,8,0,0,0,0,0,0,12,0,4,0,0,8,0,0
40,1,19,80.4,70.59,93.14,1,19,10.53,100,84.21,57.89,15.79,10.53,5.26,0,5.26,0,0,5.26,5.26,5.26,0,26.32,15.79,0,5.26,0,21.05,21.05,0,5.26,0,0,5.26,15.79,0,15.79,0,0,0,5.26,5.26,5.26,0,15.79,0,10.53,10.53,0,5.26,0,5.26,0,0,21.05,10.53,0,0,5.26,5.26,0,10.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,10.53,15.79,0,5.26,10.53,0,0,0,0,5.26,5.26,5.26,0,0,0,0,0,26.32,15.79,5.26,0,0,5.26,0,0
