ValuesSurvey,BehaviorsSurvey,CARE_tot,EQUALITY_tot,PROPORTIONALITY_tot,LOYALTY_tot,AUTHORITY_tot,PURITY_tot,Individualism_tot,Collectivism_tot,PVQ_SD_tot,PVQ_PO_tot,PVQ_UN_tot,PVQ_AC_tot,PVQ_SE_tot,PVQ_ST_tot,PVQ_CO_tot,PVQ_TR_tot,PVQ_HE_tot,PVQ_BE_tot,Religiosity_tot,NFC_tot,conservatism_tot,Tightness,sex,age,religion,first_language,race,education,ResponseId
"I believe that acceptance is one of my core values. I accept everyone for who they are and what they look like. I teach my children that everyone is equal,even they do not act like us or look different than us. I teach them that everyone is beautiful,because that is how I feel. Another one of my values is to treat everyone with respect. I treat everyone respectfully,and I ask that I get respect in return. I always behave with kindness and compassion for everyone. Even when someone is not polite in return,I believe in  ""kill them with kindness"" ,because you do not know what someone is going through until you walk in their shoes.","This past week,I have gotten my children ready for school,pacled lunches,dressed them. I make breakfast for the family every morning. I have also fed and taken care of my dogs and cats. Everyday I clean up the house and do laundry. At night time I settle down and watch a little bit of television. On Sunday,our family attended a local amusement park and did a walk around Christmas light up festival. On Wednesday I took my children to their doctor for checkups after school. Yesterday we went out to eat after taking the children to their extra curricular activity. Today we are going to a drive through lights show. This weekend I have to start wrapping Christmas gifts.",4.833333333333333,4,3.5,3.6666666666666665,3.8333333333333335,3.1666666666666665,3.6666666666666665,2.5,4.5,2,6,2.5,5,3,3.5,5,3.5,4.5,19,3.1666666666666665,4.5,3.5,1,33,1,English,1,4,R_3g5yup9a7yc5Go2
"I am a follower of Jesus, so I base my values on his teachings. Jesus said that the two greatest commandments are to LOVE God with all your heart and LOVE your neighbor as yourself. He said that every other ethical principle or law can be summed up by these two. Love is the encryption key that unlocks complex problems. If I choose loving motives--those that are truly based on another's good rather than on my selfish desires--then I am at least positioning myself to navigate my way through life.","During the past 7 days, my close circle of friends and family experienced a sustained outbreak of norovirus, with violent vomiting and achy muscles that persisted for two or three days. For that reason, we all quarantined for most of that period. My wife and I cleaned the basement for an hour or so each day, sorting through old photographs and books and shredding old financial records. We took a few walks around our neighborhood, although the weather only permitted it for a few days. We ordered groceries through a delivery service on Sunday. I ran practice 5Ks every other day, with a 5-miler on Sunday. Most days my wife and I read scriptures and watched instructional videos in the evenings. Last night we finally felt clear to have our neighbors across the street over for dinner. We played a child-friendly game with them and their three-year old.",4.833333333333333,1,4.333333333333333,2.5,3,4.166666666666667,2.5,5,3.5,2,5.333333333333333,2,4.5,4,5,4,1,6,22,3.6666666666666665,5,3.3333333333333335,2,63,1,English,1,7,R_2E4czvZ0BYjjgNk
"My most important values are kindness, respect, and truth. It is sometimes hard to find what is true or not, but I think it can be found with kindness and respect in tow. These values guide my decisions and actions as best I can. I think this helps me live a good life and blesses those around me.","I have done a lot over the last week. We are in a new city and have had some problems with our residence. We have had at least three problems with the home this week. I finished watching The Voice and helped my kids with their schoolwork. I prepared for Christmas. We went to a trampoline park and three of us got hurt, with another one getting sick. I did a new workout. I went to church but didn't stay the whole time. I learned something new with our business and earned the top spot in my Duolingo language lessons. I can't remember playing any sports. I did dinners, dishes, and laundry. I need to do laundry again.",3.3333333333333335,2.5,3.3333333333333335,2.6666666666666665,3,3.5,3.3333333333333335,3.8333333333333335,5,4.5,4.666666666666667,5,4.5,4,5,4.5,5,5,22,2.6666666666666665,3.5,3.6666666666666665,1,36,1,English,1,5,R_ywnzxAqNWH7LqyR
"I think a central value for me is simplicity. I try very hard to not consume too much whether it is possessions, food, energy or the time and attention of either my mind or of others. I work hard to find pleasure in simple things that I have overlooked in the past: being alive, drinking a glass of water, eating food and exercise. In this way, when unusual and pleasureable things do happen: a new pair of earrings, a nice meal at a restaurant, I really enjoy them as I do not indulge in them often.

A second important value for me is pay attention to where I am and one important secondary value related to this is to be outside and be aware of the natural world. Being in nature helps me be present. 

","In the past 7 days I ran errands, specifically last weekend, including going to a home improvement store to buy caulk and to the local post office to mail a package. I also visited the local library to try and find a new Agatha Christie book to read. These activities happen weekly, usually. 
I also engaged in the usual daily tasks such as waking up, drinking coffee, making the bed, having breakfast (a bagel, quite often) and doing some work. Three times I went for a vigorous walk or an easy jog. I prepared dinner and did a winding down practice before bed each day consisting of yoga and a meditation. 
Some unusual events were an unexpected weather front that created very high winds and led to a power outage for a few hours. Since it is the holidays, I did a bit of shopping for myself well and bought some earrings, which is very unusual.",5,4.333333333333333,4,1.6666666666666667,1.1666666666666667,1.1666666666666667,4.166666666666667,3.1666666666666665,4.5,1.5,5.333333333333333,1,4,1,3,3,2.5,3.5,5,3.8333333333333335,2,3.6666666666666665,1,46,6,English,3,7,R_2PgHeIfc4yF2f6d
"My most important values include humbleness and equality.  I make sure I treat others the way I want to be treated, and I treat everybody equality.  I also try to show some respect to others.  
I go by the reasons to make decisions instead of going by my gut feeling.","Getting up around 5 AM, taking shower to get ready for work.  Driving to work, starting my computer to check emails, eating lunch, driving back home, working out about an hour at home, watching TV, texting my friends and family, grocery shopping, going out for dinner with my friends and my boyfriend, going to the shipping mall for more Christmas shopping and other shopping.",3.5,3,3.1666666666666665,3,2.8333333333333335,2.3333333333333335,3.1666666666666665,3.6666666666666665,4.5,3.5,5,3.5,5,3,4.5,4.5,4.5,4.5,10,3,2.5,3.6666666666666665,1,46,5,English,3,5,R_2aJIHLKu2FWhoqr
"One value I try to stand by is being truthful in all aspects of my life.  That means always been truthful to others and to myself.  Even when things go poorly or I don't accomplish something I need to I try to let in people close to me and discuss these issues.  I also try to be productive every day.  I want to feel accomplished in my life, and that means I need to stay on task and accomplish goals.  I push myself to be productive even when I do not want to be because it adds value to my life.  Having rewarding experiences is another goal of mine.  This is valuable because it is what life is all about.  When combining being truthful and productive the next step is applying these to life.  Whether that is vacations, adventures, or goals these can all ultimately be rewarding.  I want to do this because when I am older I want to be able to look back on my life with pride and know that I did not waste the time I had.  All of these values are very important and I always have them in the back of my mind.","My past week has been spent doing normal activities along with some irregular tasks.  Last Friday my fiance and I went to her company Christmas party and a concert.  Over the weekend we worked on house projects and cooked some good dinners.  On Sunday I went for a run and watched the Packers.  After that I wrapped some Christmas presents and then we ate pizza.  Monday morning I got up for work, and started my normal week.  That included making my breakfast and coffee then going to the office.  Then was busy at work until the afternoon.  I went home and went for a run then answered some emails and made dinner.  After dinner we watched some tv and then went to bed.  On Tuesday and Wednesday I had very similar days.  I had my normal work days followed by workouts, dinner, and then catching up on my reading before bed.  Yesterday I went to work, worked out, and then went out to dinner for chicken wings and beers with friends. That brings me to this morning where I am working on the computer and doing some Christmas shopping.",3.6666666666666665,2.3333333333333335,3.6666666666666665,2.3333333333333335,2.5,1.5,3.3333333333333335,3.8333333333333335,5,4,5,3.5,2,4.5,2.5,3.5,4.5,4.5,9,3.5,2,3.5,2,30,6,English,1,3,R_3FUKXga1ouWytZ0
"A value is what is considered important in life, what makes life worth living. A values is also something that help us decide what is right or wrong in moral term.

There are different kinds of values such as social, personal, universal, moral, spiritual, cultural etc.

Friendship, patience, tolerance and love can be consider as social values. Honesty, creativity, imagination and excellence can be consider as personal values. Peace, human dignity, equal human rights and freedom can be consider as universal values. Respect to others and ourselves, keep promises, show gratitude to others, encourage others are moral values. Purity, piety, meditation, self-discipline, self-control, devotion to god can be consider as spiritual values. Cultural values allows us to situate ourselves in relation to the society we live in.

All these values are important in life to achieve success and live healthy, happily, trusty.

Personally I practice four values in life.

Health is the greatest gift,
Contentment is the greatest wealth,
Trust is the best relative,
Liberated mind is the greatest bliss.

I gained health & happiness by following things in life.

Anybody can accept and practice three values Respect, Friendship and Excellence under any circumstance.","Respect is different kinds. Respect for yourself, respect for others, respect for rules, respect for life, respect for the environment and many more. Basically respect for everything. respect is kind of business. If you respect somebody or something we are receiving respect. We can’t expect respect from somebody without giving respect.

Friendship is really important to make good and healthy relationships. Healthy relationship important to success life. We can’t do anything alone. We need support of others’. So that everybody should realize and know how to make healthy relationships.

Excellence is the third important value for life. There are different kinds of excellence like personal excellence.",4.666666666666667,4.166666666666667,4.666666666666667,4.833333333333333,4.166666666666667,4.5,4.833333333333333,4.833333333333333,5.5,5.5,5.666666666666667,5.5,6,5.5,5,5,5.5,5.5,26,5,1,4.833333333333333,1,54,1,ENGLISH,1,6,R_BLBLKhyl1SCBQCR
"The most important values to me is kindness and good will. I think that being good to each other is the best thing that we can do. I firmly believe in considering other people's well-being first and being as good of a person that you can be. I think that being non-judgmental and assuming the best about people is also very important as a guiding principle in my life. I have had the same life principals since I was a child, really. I have always asked the ""what-ifs,"" like maybe that person is having a bad day and that's why they acted in that way.","Every morning of the past week has been the same: I get up and get my self ready for the day. I start the pot of coffee that has been prepped the day before. I start my shower. I get my makeup on and then I drink my coffee while I look at my phone, check my emails, check my social media. Each day, I woke my son up at 6:45am so that he can get ready for school. I start his day by making him breakfast, usually either cereal or pancakes. I brush his teeth after breakfast and then I get him dressed. I take him outside and put him on the bus to school. Almost always, I come inside and work on Mturk for a few hours. After that bit of work, I start doing my chores. I switch the laundry, empty the dishwasher. This week my dog went to the vet, where we found out that he has an ear infection, so I have been cleaning his ears and applying medication to them every day this week. My son comes home from school each day at 3;45, at which time I make dinner. This week I made pizza on Monday and Tuesday, I made shrimp scampi pasta on Wednesday, I made broccoli and cheese soup for Thursday. I made a dessert this week which we have enjoyed over the week, it was Nutella blondies.",4.833333333333333,5,2,1,1.6666666666666667,1,4.166666666666667,3.6666666666666665,6,2,6,1.5,5.5,6,3,3.5,5.5,6,5,3.5,1,3,1,32,6,English,1,3,R_2VdQAnpE9RmNo8c
"That Jesus does not ignore my sins but took them upon himself so that God does not ignore my sins but sees Jesus in me. I cannot be made lovely by what I do, whether that is pursue sex, money, or power. That I cannot soothe my desires by justifying my existence through the same avenues. Yet,  have found my justification and loveliness in Jesus. This relationship guides my honesty, in that I can own my failures and speak truth to those around me as Jesus covers me in his beauty, not that others find me lovely. That my sexuality can be controlled because I do not need someone to make me feel wanted or desirable, I am found desirable by Jesus even before I start my day. I do not need to pursue wealth with every fiber of my being because it can never provide the security I find in Jesus, he also redeems my efforts and grants me creativity to provide the resources I need. Thusly, we are one in the same, Jesus and I.","I have gone to work each of the last five days. Usually this involved preparing my breakfast and eating eat with the children. While eating we would discuss the days activities and expectations. We would conduct some bible reading and prepare our hearts for the day. We then would get moving out the door. On Wednesday I deviated from this task of getting to work and drove to get my covid booster shot. This was uneventful but fulfilling in my civic duties. Each of the five nights we have conducted our advent activities by either enjoying certain foods, painting hand made crafts, or singing songs. Last nights song was quite enjoyable, a song about a manger, as the children joined in with much joy. Saturday and Sunday, the two days prior to the past week, involved visiting with our Grandfather and going to church. These were fulfilling in their own right as with Grandpa we made christmas cookies. At church we worshipped and visited together per usual.",4.833333333333333,2.8333333333333335,3.1666666666666665,2.3333333333333335,4.666666666666667,3.1666666666666665,1.6666666666666667,5,3.5,3,6,2.5,3.5,3,4,6,2.5,6,27,3.6666666666666665,3,2.8333333333333335,2,38,1,English,1,5,R_yvVm8a9lHzBKl9L
"I treat others as I would want to be treated. I treat everyone I realistically can as good as possible, as that's how I would like to be treated. Why be mean or rude to anyone if it's not needed? I try to rise above adversity and just choose kindness. I feel like it's benefited my friends, as we maintain a good relationship. The same is true with my family, they all love me because of how I act, not just who I am.","I've done the same thing every day. I wake up early, make a protein shake, brush my teeth, go to work at my home desk, take a lunch break, brush my teeth, go back to work, get off, lay in bed and watch TV, eat dinner, then falling asleep. I called my mom on Monday and Thursday and we talked for about an hour each day.",4.5,4.5,3,2.1666666666666665,3,2.5,3.3333333333333335,3.1666666666666665,5,3,4.666666666666667,2,5,2.5,4.5,5,2,6,5,2.8333333333333335,1,3.3333333333333335,2,31,6,English,1,5,R_2VCRFDZu4nygnq9
There may be basic thought to help everybody in my life. I want to keep the people happy who was in surrounding. The second stand in my own position that is I want to independent on both financially and emotionally. There was a deep thoughts .,"In the past week, I want to  travel to new york for project. It was a useful experience that makes me more knowledge and active. In that meeting I got a new friends and these friends were close together for me",3.5,4.333333333333333,3.3333333333333335,3.8333333333333335,3.5,4.166666666666667,3.6666666666666665,3.6666666666666665,6,4,5,5.5,5,4.5,4,4,5.5,5,21,3,4,3.6666666666666665,1,29,1,USA,1,5,R_3HUniZyQkzx1kmR
"The most important value that I have is autonomy. I want to be able to make my own choices. I want it to be my body and my choice. I want to decide for myself what is best. I want to live the lifestyle that I want because I want it and not have to answer to anyone. I want to read a book because I want to and not be shamed for it. I want to eat what I want to and not be judged. I want to believe what I want to believe and not be attacked for it. I want to be myself. I want to purchase the things I want to purchase and not have someone always looking over my shoulder or ""being on their radar"" and secretly making judgments about me that I am not adult enough or that I am to childish because I like to wear things with hearts or because I like to watch films on Disney Plus, or that I love to read books about fantasy worlds. The things that matters the most to me is that I can truly be myself in my relationships and not be shamed all the time because it doesn't look like what another person thinks is good for me. We are not all the same. We don't all want the same things. We should be free to love what we love and not have to defend it all the time. Who cares if it doesn't look like you? I am my own person. I have my own mind and my own beliefs. I don't have to be a cut out of another person. I don't care what another person believes is acceptable. I don't care what another person believes my faith should be. The most important thing to me is my autonomy. I am sick and tired of being treated like a child and watching the world treat grown adults like children who can not decide for themselves what they want to do with their own body. Our body is ours. It is not something that should ever be ""owned"" by someone else. No one should be able to tell me what I can and cannot do with my own body.","I watch videos on BookTube. I take studies on Amazon Mturk. I wash dishes, sweep the floor, and clean up the kitchen. I take care of my parent's cats.  I baked toffee bars the other day. I like to listen to music on Pandora. I make my bed each morning. I went to www. thehighwire.com/watch and watched the weekly program. We like to watch it together every Thursday night. I spent time talking to my Mother and Father about the world and what is happening in it. I texted my brother. I watched Enola Holmes on Netflix. I went to our state Capital on Monday with my Mother. She wanted to take pictures of the Christmas tree. I went to the chiropractor. I returned a book at Target. I went to the grocery store.",2.6666666666666665,2.6666666666666665,4,1.1666666666666667,2,3.1666666666666665,3.3333333333333335,3.1666666666666665,4,2.5,4.666666666666667,3,2.5,3,3.5,3.5,4,4,5,2.8333333333333335,4,3.6666666666666665,1,36,6,English,1,5,R_utaKJ4KLpNo31Tj
"My number one most important aspect of my life is my family, particularly my grandchildren. I am old and get grouchy easy and tired easy, but I try hard to make sure I don't allow this to effect them. I try to make sure they have days filled with laughter and smiles. I take this money I get from doing hits and buy my babies presents here and there through out the year (not just bdays and christmas), I also use the money to make sure I have cookies and healthy snacks for them to always have on hand. I worked ALL the time raising my sons as a single mother, I miss too much of their childhoods to ever be able to come to terms with it. I put all that I missed into my grandchildren, I don't want to miss a thing.","My days consist of a morning routine. I get up at 6 feed and water the dog. Then I start my coffee and feed and water the cat. When the coffee is done I let both animals out and I sit on patio to have my coffee and cigarettes, yes I am still in my pjs. After my coffee I bring in the dog, get dressed and begin sweeping and vacuuming the floors. At about the time I am finishing up my youngest (2) grandchild is brought over for me to watch. (they live next door)I teach her the abc's numbers, counting etc...then she plays in the same room as me while I try to do some 'hits' on here. At about 11:30 she is fed lunch and is down for nap at noon. I take a shower (if I didn't the night before)and I enjoy the peace and quiet. At 2pm I leave to pick my grandkids up from school, once home the baby is woken up from nap. The kids play outside for about an hour, then come in and do homework, after that they do some fun creative art I have ready for them. I start dinner around 4 and it is ready 5-5:30. After dinner they begin showers, and watch tv, currently christmas movies I can find. At 6 my son comes home and spends time here with them until 8 at which point mom who works from home is off work, she comes over just as kids are preparing for bed. By 8:30 all the kids cept for one are in bed, I sit with tv off and enjoy the quiet.",3.1666666666666665,2.3333333333333335,3.8333333333333335,2.1666666666666665,3,2.1666666666666665,4.166666666666667,5,5.5,2.5,3.6666666666666665,1,5,4.5,3,4.5,4.5,4,9,2.6666666666666665,5,3.5,1,59,6,english,1,3,R_x2Z83x672OSUs2B
"My principles are based on the teachings my of Heavenly Father, Jesus Christ.   I try to follow his word each day, and not stray from the path of righteousness.  I follow his teachings in my every day life.  This includes spending time with friends, interacting with others, and making decisions.  Being kind and showing love to others is the most important thing that we can do.","My typical week as been focused on family and work.  I wake up and pray, then I read my bible.  Next, I go to the gym every morning and then get ready for work.  After that I teach at a middle school and then go home to my family.  I also attended church this week, and got some Christmas shopping done.",4.166666666666667,3,3.8333333333333335,4,4,3.6666666666666665,2.8333333333333335,4,4,3,5,4,5,3,4.5,5,3.5,5,26,3,6,3.8333333333333335,2,31,1,English,1,5,R_RyiQdPRUkhvnEA1
"My core values depend on a lot of different aspects of my life.  When I was still working, I only took jobs where I was really behind the company and the products or services that it offered.  I found through a couple of bad experiences, that working for a place that I didn't believe in made it very hard to continue employment with them.
Other core values that are important to me is to be honest with myself.  If I'm not honest with myself than I can't be honest with others that I interact with.
I always try to help others when they ask and I like to be able to solve problems for people when I can.","I usually have quite a routine from week to week.  Bing in the first year of full retirement, I try to keep myself actively exercising 6 days a week by biking for and hour in the morning right after I get up.  I find that doing my cycling first thing in the morning, it gets it out of the way so that I can have the rest of the day free and if I'm riding outside during nice weather I can have the streets to myself.
After my exercising, I get back to my desk and work on the computer reading e-mail.  After a cup of coffee or two, I head to the shower and have breakfast after that.  
I start doing surveys and then have lunch.  After lunch I have a quick nap and finish out the afternoon with more surveys.  At 4PM I start ""Happy Hour"" and then have dinner, watch TV and retire for the evening around 10PM.  
The above is my activity for most of the week, unless we are traveling.
",3.5,1.1666666666666667,4.666666666666667,4.5,4.166666666666667,1.6666666666666667,3.8333333333333335,3.8333333333333335,5,3.5,4,4,5.5,3.5,3.5,4.5,4,4.5,11,3.3333333333333335,6,4.5,2,66,1,English,1,3,R_1OwSgB2Djmdc2aK
"Courage - Believe needs to be done.
Kindness- treating others the way want to be treated
Patience and integrity
",We held a birthday party to  my children which makes feel happy on that full week we made a special dinner for my friends then next day the regular chores have been done,3.3333333333333335,3.1666666666666665,3,3.5,3,3,4,4,5,4.5,4.333333333333333,5.5,4,4.5,4.5,5,4,4.5,17,3.6666666666666665,4.5,4,1,31,1,English,1,6,R_0x3UgKHbhxgXbHj
